path	overlap_class	slice	resolution	integration_commits	evidence
skills/connect-google/_rtx/tests/test_service_delegation.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/daily-plan/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/email-client/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/email-triage/DEBUGGING.md	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/email-triage/instructions/triage.md	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/email-triage/tests/test_llm_routing.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/g-calendar/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/g-calendar/_rtx/blueprints/rtx-gcal-client.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/initialize-tdd/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/install-assistant-tools/SKILL.md	O03	S4,S6	target-native v6 adaptation	d5584e7+484c0d5,6766e69+484c0d5	changed-on-both-resolution;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
skills/install-assistant-tools/_rtx/_phase_entry.py	O03	S4,S6	target-native v6 adaptation	d5584e7+484c0d5,6766e69+484c0d5	changed-on-both-resolution;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
skills/install-assistant-tools/_rtx/tests/install_test_utils.py	O03	S4,S6	target-native v6 adaptation	d5584e7+484c0d5,6766e69+484c0d5	changed-on-both-resolution;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
skills/install-assistant-tools/_rtx/tests/test_claude_github_install.py	O03	S4,S6	target-native v6 adaptation	d5584e7+484c0d5,6766e69+484c0d5	changed-on-both-resolution;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
skills/install-assistant-tools/_rtx/tests/test_codex_install.py	O03	S4,S6	target-native v6 adaptation	d5584e7+484c0d5,6766e69+484c0d5	changed-on-both-resolution;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
skills/latex-workshop/blueprint.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/list-manager/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/list-manager/_rtx/blueprints/rtx-yaml-store.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/list-manager/_rtx/tests/test_skill_contract.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/llm-wakeup/blueprints/gateway.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/math-dependency-graph/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/math-dependency-graph/_rtx/blueprints/rtx-graph-server.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/pdf-to-markdown/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/pdf-to-markdown/_rtx/blueprints/rtx-source-fetcher.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/SKILL.md	O07	S1,S6	target-native v6 adaptation	57a4c63,6766e69+484c0d5	changed-on-both-resolution;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/_healthcheck_probe.py	O07	S1,S6	target-native v6 adaptation	57a4c63,6766e69+484c0d5	changed-on-both-resolution;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/_setup_runner.py	O07	S1,S6	target-native v6 adaptation	57a4c63,6766e69+484c0d5	changed-on-both-resolution;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/blueprint.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/blueprints/rtx-healthcheck-probe.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/blueprints/rtx-job-control.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/blueprints/rtx-job-executor.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/blueprints/rtx-job-utils.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/blueprints/rtx-schedule-backend-init.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/blueprints/rtx-setup-runner.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/blueprints/rtx-unit-writer.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/_rtx/tests/test_schedule_backend.py	O07	S1,S6	target-native v6 adaptation	57a4c63,6766e69+484c0d5	changed-on-both-resolution;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
skills/recurring-tasks/blueprint.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/refactor-node/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/refactor-node/_rtx/_closure_engine.py	O05	S2	preserve deletion and adapt only v6 semantics into target standard_query	0901a75+8cb8781	changed-on-both-resolution;progress-log:S2;checkpoint-hooks;closure-full-pending
skills/refactor-node/_rtx/blueprint.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/refactor-node/blueprint.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/refactor-node/blueprints/gateway.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/refactor-node/tests/test_query_standards.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/refactor-node/tests/test_refactor_node_routing.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/regenerate-blueprints/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/skill-certifier/_rtx/_node_certifier.py	O05	S2	make current target-native tooling v6-aware	0901a75+8cb8781	changed-on-both-resolution;progress-log:S2;checkpoint-hooks;closure-full-pending
skills/skill-certifier/_rtx/blueprints/rtx-certifier.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/skill-certifier/_rtx/tests/test_certifier.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/skill-drift/_rtx/_check_drift_state.py	O05	S2	make current target-native tooling v6-aware	0901a75+8cb8781	changed-on-both-resolution;progress-log:S2;checkpoint-hooks;closure-full-pending
skills/skill-drift/_rtx/tests/test_drift_check.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/skill-drift/blueprint.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/skill-drift/blueprints/gateway.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/skill-maker/SKILL.md	O08	S8	target-native v6 adaptation	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
skills/skill-maker/blueprints/gateway.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
skills/wrap-up/blueprints/gateway.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
src/officina/common/blueprint.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
src/officina/common/blueprint_graph.py	O01	S1,S2	target-native v6 adaptation	57a4c63,0901a75+8cb8781	changed-on-both-resolution;progress-log:S1,S2;checkpoint-hooks;closure-full-pending
src/officina/common/configuration.schema.json	O01	S1,S2	target-native v6 adaptation	57a4c63,0901a75+8cb8781	changed-on-both-resolution;progress-log:S1,S2;checkpoint-hooks;closure-full-pending
src/officina/install/managed_runtime.py	O03	S4,S6	target-native v6 adaptation with runnable compatibility-path core dependencies	d5584e7+484c0d5+313975b,6766e69+484c0d5	changed-on-both-resolution;progress-log:S4,S6,A4;checkpoint-hooks;closure-full-pending;compat-runtime-core:313975b
src/officina/install/resolvers/launch.py	O03	S4,S6	target-native v6 adaptation	d5584e7+484c0d5,6766e69+484c0d5	changed-on-both-resolution;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
src/officina/wakeup/blueprints/cli.yaml	O04	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
tests/conftest.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
tests/test_blueprint_catalog_schema.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
tests/test_dispatcher_route_smoke.py	O02	S3,S7	target-native v6 adaptation	dc96600+484c0d5,ce1ea32+484c0d5	changed-on-both-resolution;progress-log:S3,S7;checkpoint-hooks;closure-full-pending
tests/test_docs_catalog.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
tests/test_interface_injection_migration.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
tests/test_interface_projection.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
tests/test_nested_module_migration.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
tests/test_officina_blueprint_graph.py	O01	S1,S2	target-native v6 adaptation	57a4c63,0901a75+8cb8781	changed-on-both-resolution;progress-log:S1,S2;checkpoint-hooks;closure-full-pending
tests/test_officina_launcher_entry.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
tests/test_officina_managed_runtime.py	O03	S4,S6	retain target installer matrix while adapting source runtime assertions, protecting packaged runtime assets, and proving compatibility-path dependencies	d5584e7+484c0d5+488056e+313975b,6766e69+484c0d5	changed-on-both-resolution;progress-log:S4,S6,A3,A4;checkpoint-hooks;closure-full-pending;wheel-runtime-assets:488056e;compat-runtime-core:313975b
tests/test_run_python_tests.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
tests/test_standard_consumers.py	O06	S6	target-native v6 adaptation	6766e69+484c0d5	changed-on-both-resolution;progress-log:S6;checkpoint-hooks;closure-full-pending
tests/test_visualization_browser.py	O08	S8	retain newer target browser behavior and omit stale source allowance	3ae2a40	changed-on-both-resolution;progress-log:S8;checkpoint-hooks;closure-full-pending
tests/validate_dispatch_caller_module.py	O05	S2,S8	target-native v6 adaptation	0901a75+8cb8781,3ae2a40	changed-on-both-resolution;progress-log:S2,S8;checkpoint-hooks;closure-full-pending
tests/validate_documentation_validators.py	O05	S2,S8	target-native v6 adaptation	0901a75+8cb8781,3ae2a40	changed-on-both-resolution;progress-log:S2,S8;checkpoint-hooks;closure-full-pending
tests/validate_skill_runtime_doc_references.py	O05	S2,S8	target-native v6 adaptation	0901a75+8cb8781,3ae2a40	changed-on-both-resolution;progress-log:S2,S8;checkpoint-hooks;closure-full-pending
validators/skill_runtime_doc_references.py	O05	S2,S8	target-native v6 adaptation	0901a75+8cb8781,3ae2a40	changed-on-both-resolution;progress-log:S2,S8;checkpoint-hooks;closure-full-pending
