status	path	protection_group	slice	resolution	integration_commits	evidence
M	skills/install-assistant-tools/_rtx/tests/test_install.py	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
A	skills/install-assistant-tools/_rtx/tests/test_tw_scripts.sh	T03	S4,S6	retain	d5584e7+484c0d5,6766e69+484c0d5	target-base-preservation;progress-log:S4,S6;checkpoint-hooks;closure-full-pending
M	skills/latex-workshop/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/latex-workshop/blueprint.yaml	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/list-manager/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/_yaml_store.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/blueprints/rtx-yaml-store.yaml	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/tests/test_lists.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/list-manager/_rtx/tests/test_skill_contract.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/list-manager/lessons.md	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/llm-wakeup/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/llm-wakeup/blueprints/gateway.yaml	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/_rtx/_graph_server.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/math-dependency-graph/_rtx/blueprints/rtx-graph-server.yaml	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
A	skills/math-dependency-graph/_rtx/tests/test_graph_server.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/pdf-to-markdown/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/pdf-to-markdown/_rtx/blueprints/rtx-source-fetcher.yaml	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
A	skills/pdf-to-markdown/_rtx/tests/test_skill_contract.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
M	skills/prepare-handoff/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/SKILL.md	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/_healthcheck_probe.py	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
A	skills/recurring-tasks/_rtx/_schedule_backend/_linux_registration_check.py	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/_setup_runner.py	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprint.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-healthcheck-probe.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-job-control.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-job-executor.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-job-utils.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
A	skills/recurring-tasks/_rtx/blueprints/rtx-jobs-config.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-schedule-backend-init.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-setup-runner.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/blueprints/rtx-unit-writer.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/jobs.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/tests/test_healthcheck.py	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
A	skills/recurring-tasks/_rtx/tests/test_job_control_contract.py	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
A	skills/recurring-tasks/_rtx/tests/test_linux_registration_check.py	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/tests/test_schedule_backend.py	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/_rtx/tests/test_setup_runner.py	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/recurring-tasks/blueprint.yaml	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
D	skills/recurring-tasks/skill.mmd	T07	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
M	skills/refactor-node/SKILL.md	T06	S2,S6,S8	retain	0901a75+8cb8781,6766e69+484c0d5,3ae2a40	target-base-preservation;progress-log:S2,S6,S8;checkpoint-hooks;closure-full-pending
D	skills/refactor-node/_rtx/__init__.py	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
D	skills/refactor-node/_rtx/_closure_engine.py	T04,T06	S2	preserve target deletion and adapt v6 effects into standard_query	0901a75+8cb8781	target-base-preservation;progress-log:S2;checkpoint-hooks;closure-full-pending
D	skills/refactor-node/_rtx/blueprint.yaml	T01	S1,S6	retain	57a4c63,6766e69+484c0d5	target-base-preservation;progress-log:S1,S6;checkpoint-hooks;closure-full-pending
D	skills/refactor-node/_rtx/schemas/query-result.schema.json	T07	S6	retain	6766e69+484c0d5	target-base-preservation;progress-log:S6;checkpoint-hooks;closure-full-pending
